RANK,ADDRESS,%,AMOUNT,VALUE,EXP
#1,5Q5...e4j1,28.30%,282500000.0,998.3M,https://solscan.io/account/5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1
#2,2wD...3n1U,7.46%,74500000.0,998.3M,https://solscan.io/account/2wD53zpUMLzvkBrag5aUKcspYFZ6Rtzi3RRD1RMB3n1U
#3,Hh3...HEDU,3.91%,39000000.0,998.3M,https://solscan.io/account/Hh34vSdT5sezGtXCi8EjkkiXiCHbz91Ja1ERTnjsHEDU
#4,GyQ...Tfps,3.31%,33000000.0,998.3M,https://solscan.io/account/GyQVRYLQrQbzGDAH4ZAeXna1FMdQUbZVLMV8fspzTfps
#5,HQT...3Cpr,3.00%,29900000.0,998.3M,https://solscan.io/account/HQTZx4yLiuKydg1L3nvJg6oyq52HAqN9yCk6EDT73Cpr
#6,Bbz...97as,2.29%,22900000.0,998.3M,https://solscan.io/account/BbzX3JpSQ7jD31p5BzoyrWY2UXe12B4k85utca1n97as
#7,4Co...1kRJ,1.92%,19100000.0,998.3M,https://solscan.io/account/4Co7mTWTKLPpeH6D6xQwmsPWcYYWujwzBvzi5BvX1kRJ
#8,5mx...86g4,1.30%,13000000.0,998.3M,https://solscan.io/account/5mxgjcZBWMDCtAaG49ogrBAzLZqZYfZFoNfEeFqM86g4
#9,4gn...WKWj,1.18%,11800000.0,998.3M,https://solscan.io/account/4gnHaL8z3VgWW3pWqGCtxq5FcUknoAF1La5dj5GtWKWj
#10,Ccd...a1yZ,1.12%,11200000.0,998.3M,https://solscan.io/account/Ccd8FRJnTpCGNyakeax9wJB6fs126Bi6L5FjXK6pa1yZ
#11,GF4...U1ov,1.04%,10400000.0,998.3M,https://solscan.io/account/GF4zgMGcHbJ2EbgeEXPMvqCQ6kL3nk3gEbsiPoaSU1ov
#12,HqY...iHfP,0.85%,8500000.0,998.3M,https://solscan.io/account/HqYYrMjNk5rEhsgCXmxHepyf5hhJogPjAjQBo34miHfP
#13,Fp8...CdcL,0.81%,8100000.0,998.3M,https://solscan.io/account/Fp8GQgryKnn25keJkhbMxYPuyEQLBcZnxvf78HgWCdcL
#14,6jW...vkkf,0.81%,8000000.0,998.3M,https://solscan.io/account/6jWQrbgnWxBuqASXKQjaRcGWSFYQoJPjgLTdrSS1vkkf
#15,4xY...h1Lf,0.73%,7300000.0,998.3M,https://solscan.io/account/4xYN4dALmQE2SficLLWULKcDP3PCgTtNV4c3tVWrh1Lf
#16,BAA...ViVm,0.58%,5800000.0,998.3M,https://solscan.io/account/BAAQmft6t8dMidtaybEtRf8Wxtez9GgWqJn1z7JGViVm
